nom,titre,niveau,parti_politique,region,legislature,statut,email,telephone,site_web,photo_url,source_url
"Raymonde Gagné",Sénateur,fédéral,"Non affilié",Manitoba,45,actif,,,https://sencanada.ca,,https://sencanada.ca/fr/senateurs/
"Chantal Petitclerc",Sénateur,fédéral,"Groupe des sénateurs indépendants",Québec,45,actif,,,https://sencanada.ca,,https://sencanada.ca/fr/senateurs/
"Wanda Thomas Bernard",Sénateur,fédéral,"Groupe progressiste du Sénat",Nouvelle-Écosse,45,actif,,,https://sencanada.ca,,https://sencanada.ca/fr/senateurs/
"René Cormier",Sénateur,fédéral,"Groupe des sénateurs indépendants",Nouveau-Brunswick,45,actif,,,https://sencanada.ca,,https://sencanada.ca/fr/senateurs/
"Tony Dean",Sénateur,fédéral,"Groupe des sénateurs indépendants",Ontario,45,actif,,,https://sencanada.ca,,https://sencanada.ca/fr/senateurs/
"Marilou McPhedran",Sénateur,fédéral,"Non affilié",Manitoba,45,actif,,,https://sencanada.ca,,https://sencanada.ca/fr/senateurs/
"Lucie Moncion",Sénateur,fédéral,"Groupe des sénateurs indépendants",Ontario,45,actif,,,https://sencanada.ca,,https://sencanada.ca/fr/senateurs/
"Kim Pate",Sénateur,fédéral,"Groupe des sénateurs indépendants",Ontario,45,actif,,,https://sencanada.ca,,https://sencanada.ca/fr/senateurs/
"Yuen Pau Woo",Sénateur,fédéral,"Groupe des sénateurs indépendants",Colombie-Britannique,45,actif,,,https://sencanada.ca,,https://sencanada.ca/fr/senateurs/
"Éric Forest",Sénateur,fédéral,"Groupe des sénateurs indépendants",Québec,45,actif,,,https://sencanada.ca,,https://sencanada.ca/fr/senateurs/
"Raymonde Saint-Germain",Sénateur,fédéral,"Groupe des sénateurs indépendants",Québec,45,actif,,,https://sencanada.ca,,https://sencanada.ca/fr/senateurs/
"Rosa Galvez",Sénateur,fédéral,"Groupe des sénateurs indépendants",Québec,45,actif,,,https://sencanada.ca,,https://sencanada.ca/fr/senateurs/
"Mary Coyle",Sénateur,fédéral,"Groupe des sénateurs indépendants",Nouvelle-Écosse,45,actif,,,https://sencanada.ca,,https://sencanada.ca/fr/senateurs/
"Mary Jane McCallum",Sénateur,fédéral,"Parti conservateur du Canada",Manitoba,45,actif,,,https://sencanada.ca,,https://sencanada.ca/fr/senateurs/
"Robert Black",Sénateur,fédéral,"Groupe des sénateurs canadiens",Ontario,45,actif,,,https://sencanada.ca,,https://sencanada.ca/fr/senateurs/
"Marty Deacon",Sénateur,fédéral,"Groupe des sénateurs indépendants",Ontario,45,actif,,,https://sencanada.ca,,https://sencanada.ca/fr/senateurs/
"Yvonne Boyer",Sénateur,fédéral,"Groupe des sénateurs indépendants",Ontario,45,actif,,,https://sencanada.ca,,https://sencanada.ca/fr/senateurs/
"Mohamed-Iqbal Ravalia",Sénateur,fédéral,"Groupe des sénateurs indépendants",Terre-Neuve-et-Labrador,45,actif,,,https://sencanada.ca,,https://sencanada.ca/fr/senateurs/
"Pierre Dalphond",Sénateur,fédéral,"Groupe des sénateurs indépendants",Québec,45,actif,,,https://sencanada.ca,,https://sencanada.ca/fr/senateurs/
"Donna Dasko",Sénateur,fédéral,"Groupe des sénateurs indépendants",Ontario,45,actif,,,https://sencanada.ca,,https://sencanada.ca/fr/senateurs/
"Colin Deacon",Sénateur,fédéral,"Groupe des sénateurs canadiens",Nouvelle-Écosse,45,actif,,,https://sencanada.ca,,https://sencanada.ca/fr/senateurs/
"Julie Miville-Dechêne",Sénateur,fédéral,"Groupe progressiste du Sénat",Québec,45,actif,,,https://sencanada.ca,,https://sencanada.ca/fr/senateurs/
"Bev Busson",Sénateur,fédéral,"Groupe des sénateurs indépendants",Colombie-Britannique,45,actif,,,https://sencanada.ca,,https://sencanada.ca/fr/senateurs/
"Marty Klyne",Sénateur,fédéral,"Groupe progressiste du Sénat",Saskatchewan,45,actif,,,https://sencanada.ca,,https://sencanada.ca/fr/senateurs/
"Peter Boehm",Sénateur,fédéral,"Groupe des sénateurs indépendants",Ontario,45,actif,,,https://sencanada.ca,,https://sencanada.ca/fr/senateurs/
"Patti LaBoucane-Benson",Sénateur,fédéral,"Non affilié",Alberta,45,actif,,,https://sencanada.ca,,https://sencanada.ca/fr/senateurs/
"Paula Simons",Sénateur,fédéral,"Groupe des sénateurs indépendants",Alberta,45,actif,,,https://sencanada.ca,,https://sencanada.ca/fr/senateurs/
"Brian Francis",Sénateur,fédéral,"Groupe progressiste du Sénat",Île-du-Prince-Édouard,45,actif,,,https://sencanada.ca,,https://sencanada.ca/fr/senateurs/
"Margaret Dawn Anderson",Sénateur,fédéral,"Parti conservateur du Canada",Territoires du Nord-Ouest,45,actif,,,https://sencanada.ca,,https://sencanada.ca/fr/senateurs/
"Pat Duncan",Sénateur,fédéral,"Non affilié",Yukon,45,actif,,,https://sencanada.ca,,https://sencanada.ca/fr/senateurs/
"Stan Kutcher",Sénateur,fédéral,"Groupe des sénateurs indépendants",Nouvelle-Écosse,45,actif,,,https://sencanada.ca,,https://sencanada.ca/fr/senateurs/
"Rosemary Moodie",Sénateur,fédéral,"Groupe des sénateurs indépendants",Ontario,45,actif,,,https://sencanada.ca,,https://sencanada.ca/fr/senateurs/
"Tony Loffreda",Sénateur,fédéral,"Groupe des sénateurs indépendants",Québec,45,actif,,,https://sencanada.ca,,https://sencanada.ca/fr/senateurs/
"Bernadette Clement",Sénateur,fédéral,"Groupe des sénateurs indépendants",Ontario,45,actif,,,https://sencanada.ca,,https://sencanada.ca/fr/senateurs/
"Jim Quinn",Sénateur,fédéral,"Groupe des sénateurs canadiens",Nouveau-Brunswick,45,actif,,,https://sencanada.ca,,https://sencanada.ca/fr/senateurs/
"Hassan Yussuff",Sénateur,fédéral,"Groupe des sénateurs indépendants",Ontario,45,actif,,,https://sencanada.ca,,https://sencanada.ca/fr/senateurs/
"David Arnot",Sénateur,fédéral,"Groupe des sénateurs indépendants",Saskatchewan,45,actif,,,https://sencanada.ca,,https://sencanada.ca/fr/senateurs/
"Michèle Audette",Sénateur,fédéral,"Groupe progressiste du Sénat",Québec,45,actif,,,https://sencanada.ca,,https://sencanada.ca/fr/senateurs/
"Amina Gerba",Sénateur,fédéral,"Groupe progressiste du Sénat",Québec,45,actif,,,https://sencanada.ca,,https://sencanada.ca/fr/senateurs/
"Clément Gignac",Sénateur,fédéral,"Groupe des sénateurs canadiens",Québec,45,actif,,,https://sencanada.ca,,https://sencanada.ca/fr/senateurs/
"Karen Sorensen",Sénateur,fédéral,"Groupe progressiste du Sénat",Alberta,45,actif,,,https://sencanada.ca,,https://sencanada.ca/fr/senateurs/
"Flordeliz Osler",Sénateur,fédéral,"Groupe des sénateurs canadiens",Manitoba,45,actif,,,https://sencanada.ca,,https://sencanada.ca/fr/senateurs/
"Margo Greenwood",Sénateur,fédéral,"Groupe des sénateurs indépendants",Colombie-Britannique,45,actif,,,https://sencanada.ca,,https://sencanada.ca/fr/senateurs/
"Sharon Burey",Sénateur,fédéral,"Groupe des sénateurs canadiens",Ontario,45,actif,,,https://sencanada.ca,,https://sencanada.ca/fr/senateurs/
"Andrew Cardozo",Sénateur,fédéral,"Groupe progressiste du Sénat",Ontario,45,actif,,,https://sencanada.ca,,https://sencanada.ca/fr/senateurs/
"Rebecca Patterson",Sénateur,fédéral,"Groupe des sénateurs canadiens",Ontario,45,actif,,,https://sencanada.ca,,https://sencanada.ca/fr/senateurs/
"Jane MacAdam",Sénateur,fédéral,"Groupe des sénateurs indépendants",Île-du-Prince-Édouard,45,actif,,,https://sencanada.ca,,https://sencanada.ca/fr/senateurs/
"Iris Petten",Sénateur,fédéral,"Non affilié",Terre-Neuve-et-Labrador,45,actif,,,https://sencanada.ca,,https://sencanada.ca/fr/senateurs/
"Paul Prosper",Sénateur,fédéral,"Groupe des sénateurs canadiens",Nouvelle-Écosse,45,actif,,,https://sencanada.ca,,https://sencanada.ca/fr/senateurs/
"Judy White",Sénateur,fédéral,"Groupe progressiste du Sénat",Terre-Neuve-et-Labrador,45,actif,,,https://sencanada.ca,,https://sencanada.ca/fr/senateurs/
"Réjean Aucoin",Sénateur,fédéral,"Groupe des sénateurs canadiens",Nouvelle-Écosse,45,actif,,,https://sencanada.ca,,https://sencanada.ca/fr/senateurs/
"Rodger Cuzner",Sénateur,fédéral,"Groupe progressiste du Sénat",Nouvelle-Écosse,45,actif,,,https://sencanada.ca,,https://sencanada.ca/fr/senateurs/
"Joan Kingston",Sénateur,fédéral,"Groupe des sénateurs indépendants",Nouveau-Brunswick,45,actif,,,https://sencanada.ca,,https://sencanada.ca/fr/senateurs/
"John McNair",Sénateur,fédéral,"Groupe des sénateurs indépendants",Nouveau-Brunswick,45,actif,,,https://sencanada.ca,,https://sencanada.ca/fr/senateurs/
"Krista Ross",Sénateur,fédéral,"Groupe des sénateurs canadiens",Nouveau-Brunswick,45,actif,,,https://sencanada.ca,,https://sencanada.ca/fr/senateurs/
"Marnie McBean",Sénateur,fédéral,"Groupe des sénateurs indépendants",Ontario,45,actif,,,https://sencanada.ca,,https://sencanada.ca/fr/senateurs/
"Paulette Senior",Sénateur,fédéral,"Groupe des sénateurs indépendants",Ontario,45,actif,,,https://sencanada.ca,,https://sencanada.ca/fr/senateurs/
"Toni Varone",Sénateur,fédéral,"Groupe des sénateurs indépendants",Ontario,45,actif,,,https://sencanada.ca,,https://sencanada.ca/fr/senateurs/
"Mary Robinson",Sénateur,fédéral,"Groupe des sénateurs canadiens",Île-du-Prince-Édouard,45,actif,,,https://sencanada.ca,,https://sencanada.ca/fr/senateurs/
"Mohammad Al Zaibak",Sénateur,fédéral,"Groupe des sénateurs canadiens",Ontario,45,actif,,,https://sencanada.ca,,https://sencanada.ca/fr/senateurs/
"Manuelle Oudar",Sénateur,fédéral,"Groupe des sénateurs indépendants",Québec,45,actif,,,https://sencanada.ca,,https://sencanada.ca/fr/senateurs/
"Victor Boudreau",Sénateur,fédéral,"Groupe des sénateurs indépendants",Nouveau-Brunswick,45,actif,,,https://sencanada.ca,,https://sencanada.ca/fr/senateurs/
"Charles Adler",Sénateur,fédéral,"Groupe des sénateurs canadiens",Manitoba,45,actif,,,https://sencanada.ca,,https://sencanada.ca/fr/senateurs/
"Tracy Muggli",Sénateur,fédéral,"Groupe progressiste du Sénat",Saskatchewan,45,actif,,,https://sencanada.ca,,https://sencanada.ca/fr/senateurs/
"Daryl Fridhandler",Sénateur,fédéral,"Groupe progressiste du Sénat",Alberta,45,actif,,,https://sencanada.ca,,https://sencanada.ca/fr/senateurs/
"Kristopher Wells",Sénateur,fédéral,"Groupe progressiste du Sénat",Alberta,45,actif,,,https://sencanada.ca,,https://sencanada.ca/fr/senateurs/
"Pierre Moreau",Sénateur,fédéral,"Non affilié",Québec,45,actif,,,https://sencanada.ca,,https://sencanada.ca/fr/senateurs/
"Suze Youance",Sénateur,fédéral,"Groupe des sénateurs indépendants",Québec,45,actif,,,https://sencanada.ca,,https://sencanada.ca/fr/senateurs/
"Nancy Karetak-Lindell",Sénateur,fédéral,"Groupe des sénateurs indépendants",Nunavut,45,actif,,,https://sencanada.ca,,https://sencanada.ca/fr/senateurs/
"Allister Surette",Sénateur,fédéral,"Groupe des sénateurs indépendants",Nouvelle-Écosse,45,actif,,,https://sencanada.ca,,https://sencanada.ca/fr/senateurs/
"Baltej Dhillon",Sénateur,fédéral,"Groupe des sénateurs indépendants",Colombie-Britannique,45,actif,,,https://sencanada.ca,,https://sencanada.ca/fr/senateurs/
"Martine Hébert",Sénateur,fédéral,"Groupe des sénateurs indépendants",Québec,45,actif,,,https://sencanada.ca,,https://sencanada.ca/fr/senateurs/
"Todd Lewis",Sénateur,fédéral,"Groupe des sénateurs canadiens",Saskatchewan,45,actif,,,https://sencanada.ca,,https://sencanada.ca/fr/senateurs/
"Danièle Henkel",Sénateur,fédéral,"Groupe progressiste du Sénat",Québec,45,actif,,,https://sencanada.ca,,https://sencanada.ca/fr/senateurs/
"Duncan Wilson",Sénateur,fédéral,"Groupe progressiste du Sénat",Colombie-Britannique,45,actif,,,https://sencanada.ca,,https://sencanada.ca/fr/senateurs/
"Dawn Arnold",Sénateur,fédéral,"Groupe des sénateurs indépendants",Nouveau-Brunswick,45,actif,,,https://sencanada.ca,,https://sencanada.ca/fr/senateurs/
"Katherine Hay",Sénateur,fédéral,"Groupe progressiste du Sénat",Ontario,45,actif,,,https://sencanada.ca,,https://sencanada.ca/fr/senateurs/
"Tony Ince",Sénateur,fédéral,"Groupe des sénateurs canadiens",Nouvelle-Écosse,45,actif,,,https://sencanada.ca,,https://sencanada.ca/fr/senateurs/
"Farah Mohamed",Sénateur,fédéral,"Groupe des sénateurs indépendants",Ontario,45,actif,,,https://sencanada.ca,,https://sencanada.ca/fr/senateurs/
"Sandra Pupatello",Sénateur,fédéral,"Non affilié",Ontario,45,actif,,,https://sencanada.ca,,https://sencanada.ca/fr/senateurs/
